Year,Team,Wins,Losses,Ties,WDA,WDSD,NWDA,NWDSD,CM
2017,Dirty Mike and The Boys,107,36,0,8.23,3.24,0.748,0.294,2.536
2017,Yinzburgh FC,98,43,2,7.53,3.17,0.685,0.288,2.371
2017,Great Britton,93,49,1,7.15,3.71,0.650,0.337,1.925
2017,Red Leader,85,57,1,6.53,2.25,0.594,0.205,2.894
2017,Refurbished  Sextoys ,81,59,3,6.23,2.71,0.566,0.246,2.296
2017,Chad Wicks,74,68,1,5.69,3.66,0.517,0.332,1.555
2017,Erd's Stoonads,70,73,0,5.38,3.50,0.489,0.318,1.538
2017,A Song of Rice and Favre,62,81,0,4.76,2.80,0.433,0.254,1.701
2017,Bloodbath McGrath,61,80,2,4.69,3.06,0.426,0.278,1.530
2017,Dux Nonnarum Volantium,55,86,2,4.23,3.76,0.384,0.342,1.123
2017,Huge Denver Broncos Fan ,35,107,1,2.69,2.09,0.244,0.190,1.283
2017,Kalifornia Kommies,29,111,3,2.23,2.68,0.202,0.243,0.831
